Interval,GMTIntervalEnd,Constraint Name,Constraint Type,NERCID,State,Shadow Price,Monitored Facility,Contingent Facility
05/05/2018 02:00:00,05/05/2018 07:00:00,OSGCANBUSDEA,FG,5371,BINDING,-4.2317,LN RANDALL1 - CANYON_E,LN DEAFSMIT - BUSHLAND 230 SPS
05/05/2018 02:00:00,05/05/2018 07:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-0.0713,LN TEXAS_CO - ,BASE
05/05/2018 03:00:00,05/05/2018 08:00:00,OSGCANBUSDEA,FG,5371,BINDING,-14.8470,LN RANDALL1 - CANYON_E,LN DEAFSMIT - BUSHLAND 230 SPS
05/05/2018 03:00:00,05/05/2018 08:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-0.2501,LN TEXAS_CO - ,BASE
05/05/2018 04:00:00,05/05/2018 09:00:00,OSGCANBUSDEA,FG,5371,BINDING,-12.9778,LN RANDALL1 - CANYON_E,LN DEAFSMIT - BUSHLAND 230 SPS
05/05/2018 04:00:00,05/05/2018 09:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-0.2186,LN TEXAS_CO - ,BASE
05/05/2018 06:00:00,05/05/2018 11:00:00,OSGCANBUSDEA,FG,5371,BINDING,-2.6492,LN RANDALL1 - CANYON_E,LN DEAFSMIT - BUSHLAND 230 SPS
05/05/2018 06:00:00,05/05/2018 11:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-0.0446,LN TEXAS_CO - ,BASE
05/05/2018 07:00:00,05/05/2018 12:00:00,OSGCANBUSDEA,FG,5371,BINDING,-9.9767,LN RANDALL1 - CANYON_E,LN DEAFSMIT - BUSHLAND 230 SPS
05/05/2018 07:00:00,05/05/2018 12:00:00,VINHAYKNOXFR,FG,5406,BINDING,-19.1281,LN VINETAP3 - NHAYS,XF KNOLL1 230/115 WR
05/05/2018 07:00:00,05/05/2018 12:00:00,LOVING_NRTHINTA_LN@LOVINGTO<CON3517>,MA,,BINDING,-7.8501,LN LOVINGTO - NRTH_INT,LN DENVER_C - SHELL_C2 115 SPS
05/05/2018 07:00:00,05/05/2018 12:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-0.4062,LN TEXAS_CO - ,BASE
05/05/2018 08:00:00,05/05/2018 13:00:00,VINHAYKNOXFR,FG,5406,BINDING,-6.9596,LN VINETAP3 - NHAYS,XF KNOLL1 230/115 WR
05/05/2018 08:00:00,05/05/2018 13:00:00,LOVING_NRTHINTA_LN@LOVINGTO<CON3517>,MA,,BINDING,-9.2511,LN LOVINGTO - NRTH_INT,LN DENVER_C - SHELL_C2 115 SPS
05/05/2018 08:00:00,05/05/2018 13:00:00,PIONEERG_1,MA,,BINDING,-0.3624,XFMR PIONEERG - PIONEERG,BASE
05/05/2018 08:00:00,05/05/2018 13:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-0.0866,LN TEXAS_CO - ,BASE
05/05/2018 09:00:00,05/05/2018 14:00:00,HARPOTHARPOT,FG,5477,BINDING,-3.5201,LN HARRSUB - POTTER_S,LN HARRSUB - RLNGHILS 230 SPS
05/05/2018 09:00:00,05/05/2018 14:00:00,TEMP47_23759,FG,23759,BINDING,-6.7821,LN LOVINGTO - NRTH_INT,LN YOAKUM - HOBBS 230 SPS
05/05/2018 09:00:00,05/05/2018 14:00:00,VINHAYKNOXFR,FG,5406,BINDING,-9.1929,LN VINETAP3 - NHAYS,XF KNOLL1 230/115 WR
05/05/2018 09:00:00,05/05/2018 14:00:00,LOVING_NRTHINTA_LN@LOVINGTO<CON3517>,MA,,BINDING,-4.9168,LN LOVINGTO - NRTH_INT,LN DENVER_C - SHELL_C2 115 SPS
05/05/2018 09:00:00,05/05/2018 14:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-0.0348,LN TEXAS_CO - ,BASE
05/05/2018 10:00:00,05/05/2018 15:00:00,HARPOTHARPOT,FG,5477,BINDING,-4.9300,LN HARRSUB - POTTER_S,LN HARRSUB - RLNGHILS 230 SPS
05/05/2018 10:00:00,05/05/2018 15:00:00,TEMP47_23759,FG,23759,BINDING,-19.0662,LN LOVINGTO - NRTH_INT,LN YOAKUM - HOBBS 230 SPS
05/05/2018 10:00:00,05/05/2018 15:00:00,VINHAYKNOXFR,FG,5406,BINDING,-1.8262,LN VINETAP3 - NHAYS,XF KNOLL1 230/115 WR
05/05/2018 10:00:00,05/05/2018 15:00:00,2079A_LN@OWASSO<CON1098>,MA,,BINDING,5.5324,LN OWASSO - NE_GAS,LN OOLOGAH - NE_GAS 138 CSWS
05/05/2018 10:00:00,05/05/2018 15:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.0806,LN TEXAS_CO - ,BASE
05/05/2018 11:00:00,05/05/2018 16:00:00,HARPOTHARPOT,FG,5477,BINDING,-5.9762,LN HARRSUB - POTTER_S,LN HARRSUB - RLNGHILS 230 SPS
05/05/2018 11:00:00,05/05/2018 16:00:00,TEMP47_23759,FG,23759,BINDING,-14.2660,LN LOVINGTO - NRTH_INT,LN YOAKUM - HOBBS 230 SPS
05/05/2018 11:00:00,05/05/2018 16:00:00,2079A_LN@OWASSO<CON1098>,MA,,BINDING,6.8516,LN OWASSO - NE_GAS,LN OOLOGAH - NE_GAS 138 CSWS
05/05/2018 11:00:00,05/05/2018 16:00:00,LOVING_NRTHINTA_LN@LOVINGTO<CON3517>,MA,,BINDING,-3.2196,LN LOVINGTO - NRTH_INT,LN DENVER_C - SHELL_C2 115 SPS
05/05/2018 11:00:00,05/05/2018 16:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.1334,LN TEXAS_CO - ,BASE
05/05/2018 12:00:00,05/05/2018 17:00:00,HARPOTHARPOT,FG,5477,BINDING,-7.3334,LN HARRSUB - POTTER_S,LN HARRSUB - RLNGHILS 230 SPS
05/05/2018 12:00:00,05/05/2018 17:00:00,VINHAYKNOXFR,FG,5406,BINDING,-5.5609,LN VINETAP3 - NHAYS,XF KNOLL1 230/115 WR
05/05/2018 12:00:00,05/05/2018 17:00:00,2079A_LN@OWASSO<CON1098>,MA,,BINDING,7.9305,LN OWASSO - NE_GAS,LN OOLOGAH - NE_GAS 138 CSWS
05/05/2018 12:00:00,05/05/2018 17:00:00,LOVING_NRTHINTA_LN@LOVINGTO<CON3517>,MA,,BINDING,-3.3758,LN LOVINGTO - NRTH_INT,LN DENVER_C - SHELL_C2 115 SPS
05/05/2018 12:00:00,05/05/2018 17:00:00,PIONEERG_1,MA,,BINDING,-0.8495,XFMR PIONEERG - PIONEERG,BASE
05/05/2018 12:00:00,05/05/2018 17:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.1105,LN TEXAS_CO - ,BASE
05/05/2018 13:00:00,05/05/2018 18:00:00,HARPOTHARPOT,FG,5477,BINDING,-10.8884,LN HARRSUB - POTTER_S,LN HARRSUB - RLNGHILS 230 SPS
05/05/2018 13:00:00,05/05/2018 18:00:00,TEMP81_22480,FG,22480,BINDING,-29.8137,XFMR EDWV - EDWV,LN 87TH_ST - CRAIG 345 KCPL
05/05/2018 13:00:00,05/05/2018 18:00:00,2079A_LN@OWASSO<CON1098>,MA,,BINDING,11.6288,LN OWASSO - NE_GAS,LN OOLOGAH - NE_GAS 138 CSWS
05/05/2018 13:00:00,05/05/2018 18:00:00,LOVING_NRTHINTA_LN@LOVINGTO<CON3517>,MA,,BINDING,-20.5994,LN LOVINGTO - NRTH_INT,LN DENVER_C - SHELL_C2 115 SPS
05/05/2018 13:00:00,05/05/2018 18:00:00,PIONEERG_1,MA,,BINDING,-1.7798,XFMR PIONEERG - PIONEERG,BASE
05/05/2018 13:00:00,05/05/2018 18:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.3903,LN TEXAS_CO - ,BASE
05/05/2018 14:00:00,05/05/2018 19:00:00,HARPOTHARPOT,FG,5477,BINDING,-16.3530,LN HARRSUB - POTTER_S,LN HARRSUB - RLNGHILS 230 SPS
05/05/2018 14:00:00,05/05/2018 19:00:00,TEMP81_22480,FG,22480,BINDING,-47.3978,XFMR EDWV - EDWV,LN 87TH_ST - CRAIG 345 KCPL
05/05/2018 14:00:00,05/05/2018 19:00:00,2079A_LN@OWASSO<CON1098>,MA,,BINDING,13.3467,LN OWASSO - NE_GAS,LN OOLOGAH - NE_GAS 138 CSWS
